genename	ensembl	log2FoldChange	chromosome_name	idx
BPH1	YCR032W	2.32066632200442	3	35
RPL22B	YFL034C-A	2.32204485794462	6	12
LDB7	YBL006C	2.33309412527989	2	43
GAT1	YFL021W	2.34270112372104	6	19
SPI1	YER150W	2.34396222189216	5	93
FLC2	YAL053W	2.35278292247388	1	9
FMP40	YPL222W	2.35419981113831	16	26
RTS1	YOR014W	2.40835471527198	15	71
FET3	YMR058W	2.45561701371255	13	77
HEL2	YDR266C	2.45566316996939	4	200
TYE7	YOR344C	2.46640078796178	15	195
SML1	YML058W	2.47724656135708	13	31
GSC2	YGR032W	2.47821323049308	7	109
MAL13	YGR288W	2.48279956701378	7	214
MSN2	YMR037C	2.50858764856142	13	68
YKE4	YIL023C	2.51513837582865	9	61
SHE4	YOR035C	2.51883704461138	15	79
GTO3	YMR251W	2.52264581801619	13	154
PHO86	YJL117W	2.55459969912593	10	38
NCE103	YNL036W	2.56596728066087	14	111
RGA2	YDR379W	2.58996036342115	4	246
CRF1	YDR223W	2.59932304152793	4	182
ATP5	YDR298C	2.62826934027545	4	211
BMT5	YIL096C	2.63414910701397	9	36
HSP82	YPL240C	2.63824654114852	16	19
BRR2	YER172C	2.65421478778112	5	105
UFO1	YML088W	2.66839008952116	13	18
FUN19	YAL034C	2.66974684402592	1	16
SPG5	YMR191W	2.69151105724744	13	129
MUD2	YKL074C	2.70873522851049	11	58
SNZ1	YMR096W	2.71353404375403	13	91
MMM1	YLL006W	2.74216392020534	12	27
BET3	YKR068C	2.75362892083972	11	114
ASE1	YOR058C	2.77541110812484	15	86
YAP6	YDR259C	2.78207898977479	4	194
TAD2	YJL035C	2.78783420329971	10	76
SSE2	YBR169C	2.82088590744633	2	114
IZH2	YOL002C	2.83061081737908	15	64
RCK2	YLR248W	2.88982809743284	12	126
PMP1	YCR024C-A	2.89209971640089	3	32
PTP2	YOR208W	2.95070041132049	15	146
TPO3	YPR156C	2.95549183615313	16	167
ENB1	YOL158C	2.971170345083	15	3
YET2	YMR040W	2.98388589296683	13	70
CTF19	YPL018W	3.00735503898237	16	103
ATG23	YLR431C	3.04288297282143	12	200
VRP1	YLR337C	3.04290877144841	12	160
ORM1	YGR038W	3.04451805621458	7	112
PFK26	YIL107C	3.04537161247522	9	32
ECM8	YBR076W	3.05776032781326	2	78
MDH2	YOL126C	3.06084309116119	15	16
BOP3	YNL042W	3.11721595038145	14	109
TPH3	YJL016W	3.12483837577464	10	81
PRT1	YOR361C	3.13338928179492	15	203
REX3	YLR107W	3.20812987432256	12	72
ULI1	YFR026C	3.23230547209665	6	41
SAS3	YBL052C	3.23834419334241	2	23
CMP2	YML057W	3.29140304075893	13	32
ATO3	YDR384C	3.29141079138031	4	248
NGR1	YBR212W	3.29830902170229	2	129
SDS23	YGL056C	3.29890412020116	7	79
SPR28	YDR218C	3.3068900191122	4	180
NGL3	YML118W	3.30824790360483	13	6
MLF3	YNL074C	3.31912136084148	14	97
MAM3	YOL060C	3.34065747207304	15	42
GPT2	YKR067W	3.35272548184877	11	113
VHR2	YER064C	3.40790064841333	5	56
CTL1	YMR180C	3.41749869265429	13	124
GEA2	YEL022W	3.44067272338355	5	22
DSE4	YNR067C	3.50506616556036	14	151
STE2	YFL026W	3.59661766673048	6	16
DNM1	YLL001W	3.65643609251566	12	29
COS1	YNL336W	3.73868833258053	14	1
SAS2	YMR127C	3.78746692831913	13	104
BNR1	YIL159W	3.79960734660217	9	8
DDR2	YOL052C-A	3.92328927401216	15	46
HXT10	YFL011W	3.98032170884682	6	22
OSW2	YLR054C	4.0009309130512	12	49
PRP45	YAL032C	4.01561940400743	1	16
NCR1	YPL006W	4.04646037138914	16	108
DOA4	YDR069C	4.07788546297523	4	116
MAL33	YBR297W	4.09626824792975	2	160
LDB19	YOR322C	4.2089759734529	15	183
ELO3	YLR372W	4.22262518925515	12	173
COS10	YNR075W	4.24456908174827	14	155
GSH1	YJL101C	4.25575330003078	10	46
LSB6	YJL100W	4.27793265872259	10	47
SLI1	YGR212W	4.297007513037	7	183
LAP2	YNL045W	4.33025631041778	14	108
DFR1	YOR236W	4.37734540090024	15	156
NCS6	YGL211W	4.68562050890701	7	18
COS4	YFL062W	4.72745840951427	6	1
YSC84	YHR016C	4.8016633963498	8	27
MPH1	YIR002C	4.84327656929143	9	71
COS111	YBR203W	4.91454396029431	2	125
THI21	YPL258C	4.96864183421446	16	10
VPS35	YJL154C	5.05737686181264	10	26
ATG8	YBL078C	5.25317281829995	2	16
UTP5	YDR398W	5.30652982919258	4	253
NUP192	YJL039C	5.36000660636701	10	73
RFX1	YLR176C	5.45523020538513	12	101
ARN1	YHL040C	6.10986759411921	8	3
ATG17	YLR423C	6.32412016048321	12	194
